Premis Cd,Premis Desc
501,SINGLE FAMILY DWELLING
102,SIDEWALK
101,STREET
103,ALLEY
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
121,YARD (RESIDENTIAL/BUSINESS)
108,PARKING LOT
203,OTHER BUSINESS
707,GARAGE/CARPORT
212,TRANSPORTATION FACILITY (AIRPORT)
210,RESTAURANT/FAST FOOD
109,PARK/PLAYGROUND
122,"VEHICLE, PASSENGER/TRUCK"
503,HOTEL
504,OTHER RESIDENCE
733,BAR/SPORTS BAR (OPEN DAY & NIGHT)
301,GAS STATION
123,PARKING UNDERGROUND/BUILDING
708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
248,CELL PHONE STORE
727,SHOPPING MALL (COMMON AREA)
119,"PORCH, RESIDENTIAL"
155,DAM/RESERVOIR
116,OTHER/OUTSIDE
104,DRIVEWAY
724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
717,HEALTH SPA/GYM
146,PATIO*
402,MARKET
404,DEPARTMENT STORE
507,CONDOMINIUM/TOWNHOUSE
706,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
868,MTA - ORANGE LINE - NORTH HOLLYWOOD
710,OTHER PREMISE
120,STORAGE SHED
721,HIGH SCHOOL
405,CLOTHING STORE
720,JUNIOR HIGH SCHOOL
221,PUBLIC STORAGE
750,CYBERSPACE
506,ABANDONED BUILDING ABANDONED HOUSE
729,SPECIALTY SCHOOL/OTHER
222,LAUNDROMAT
202,LIQUOR STORE
511,PROJECT/TENEMENT/PUBLIC HOUSING
409,BEAUTY SUPPLY STORE
406,OTHER STORE
142,DRIVE THRU*
725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
913,MTA - RED LINE - NORTH HOLLYWOOD
217,AUTO REPAIR SHOP
403,DRUG STORE
736,SKATEBOARD FACILITY/SKATEBOARD PARK*
213,WAREHOUSE
726,POLICE FACILITY
921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)"
401,MINI-MART
138,STAIRWELL*
302,FACTORY
702,OFFICE BUILDING/OFFICE
118,CONSTRUCTION SITE
158,TRANSIENT ENCAMPMENT
241,ENERGY PLANT/FACILITY
232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*"
124,BUS STOP
117,BEACH
704,ELEMENTARY SCHOOL
735,NIGHT CLUB (OPEN EVENINGS ONLY)
418,Not Specified
701,HOSPITAL
256,Not Specified
510,NURSING/CONVALESCENT/RETIREMENT HOME
602,BANK
751,WEBSITE
801,MTA BUS
411,PET STORE
505,MOTEL
728,ELEVATOR
703,ENTERTAINMENT/COMEDY CLUB (OTHER)
517,MISSIONS/SHELTERS
219,CLEANER/LAUNDROMAT
722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
127,TRASH CAN/TRASH DUMPSTER
412,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)"
752,FIRE STATION
415,THE GROVE
718,MASSAGE PARLOR
112,"BUS, SCHOOL, CHURCH"
242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC."
834,LA UNION STATION (NOT LINE SPECIFIC)
145,MAIL BOX
804,GREYHOUND OR INTERSTATE BUS
252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)"
605,AUTOMATED TELLER MACHINE (ATM)
519,SHORT-TERM VACATION RENTAL
509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
154,TRAIN TRACKS
229,CHECK CASHING*
237,HOSPICE
885,MTA - ORANGE LINE - CHATSWORTH
942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
922,MTA - PURPLE LINE - WILSHIRE/WESTERN
151,TOW YARD*
111,BUS-CHARTER/PRIVATE
515,APARTMENT/CONDO COMMON LAUNDRY ROOM
732,POST OFFICE
247,CAR WASH
239,MEDICAL MARIJUANA FACILITIES/BUSINESSES
912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
140,BALCONY*
150,TOOL SHED*
144,GOLF COURSE*
723,PRIVATE SCHOOL/PRESCHOOL
719,MEDICAL/DENTAL OFFICES
207,BAR/COCKTAIL/NIGHTCLUB
518,TRANSITIONAL HOUSING/HALFWAY HOUSE
738,LIBRARY
115,AIRCRAFT
935,MTA - BLUE LINE - WASHINGTON
220,NAIL SALON
218,BEAUTY/BARBER SHOP
905,MTA - RED LINE - WILSHIRE/VERMONT
514,GROUP HOME
114,TAXI
811,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
895,MTA - SILVER LINE - HARBOR FWY
254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
110,FREEWAY
208,AUTO SALES LOT
235,PHARMACY INSIDE STORE OR SUPERMARKET*
201,JEWELRY STORE
107,VACANT LOT
408,AUTO SUPPLY STORE*
745,WATER FACILITY
410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)"
757,BASKETBALL COURTS
956,MTA - GREEN LINE - AVALON
937,MTA - BLUE LINE - 103RD/WATTS TOWERS
604,FINANCE COMPANY
730,SYNAGOGUE/TEMPLE
209,EQUIPMENT RENTAL
920,MTA - PURPLE LINE - WILSHIRE/VERMONT
231,DAY CARE/CHILDREN*
214,"BUS DEPOT/TERMINAL, OTHER THAN MTA"
244,TOBACCO SHOP
936,MTA - BLUE LINE - VERNON
303,OIL REFINERY
957,MTA - GREEN LINE - HARBOR FWY
753,DETENTION/JAIL FACILITY
716,THEATRE/MOVIE
802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
413,FURNITURE STORE
205,GUN/SPORTING GOODS
216,SWAP MEET
951,MTA - EXPO LINE - PALMS
407,HARDWARE/BUILDING SUPPLY
141,CEMETARY*
709,PUBLIC RESTROOM(INDOORS-INSIDE)
737,SKATING RINK*
601,SAVINGS & LOAN
253,MORTUARY
758,HANDBALL COURTS
152,UNDERPASS/BRIDGE*
251,RECYCLING CENTER
508,FRAT HOUSE/SORORITY/DORMITORY
705,SLIPS/DOCK/MARINA/BOAT
809,METROLINK TRAIN
603,CREDIT UNION
249,NURSERY/FLOWER SHOP
113,"TRUCK, COMMERICAL"
236,VISION CARE FACILITY*
234,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
149,RIVER BED*
147,POOL-PUBLIC/OUTDOOR OR INDOOR*
128,BUS STOP/LAYOVER (ALSO QUERY 124)
148,PUBLIC RESTROOM/OUTSIDE*
740,OTHER PLACE OF WORSHIP
933,MTA - BLUE LINE - GRAND/LATTC
512,FOSTER HOME BOYS OR GIRLS*
215,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA"
744,HIGH-RISE BUILDING
125,PAY PHONE
739,SPORTS ARENA
882,MTA - ORANGE LINE - SHERMAN WAY
230,DAY CARE/ADULTS*
414,BOOK STORE
880,MTA - ORANGE LINE - CANOGA
884,MTA - ORANGE LINE - NORDHOFF
204,MANUFACTURING COMPANY
755,VETERINARIAN/ANIMAL HOSPITAL
105,PEDESTRIAN OVERCROSSING
712,COLISEUM
250,COMPUTER SERVICES/REPAIRS/SALES
129,"TERMINAL, OTHER THAN MTA"
227,ABORTION CLINIC/ABORTION FACILITY*
238,TELECOMMUNICATION FACILITY/LOCATION
910,MTA - RED LINE - HOLLYWOOD/VINE
206,TV/RADIO/APPLIANCE
756,MUSCLE BEACH
607,BANKING INSIDE MARKET-STORE *
743,MASS GATHERING LOCATION
958,MTA - GREEN LINE - AVIATION/LAX
896,MTA - SILVER LINE - ROSECRANS
754,MUSEUM
870,MTA - ORANGE LINE - VALLEY COLLEGE
156,VALET
713,CONVENTION CENTER
225,RECORD-CD MUSIC/COMPUTER GAME STORE
233,TATTOO PARLOR*
711,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*"
228,BOWLING ALLEY*
934,MTA - BLUE LINE - SAN PEDRO
304,GARMENT MANUFACTURER
869,MTA - ORANGE LINE - LAUREL CANYON
106,TUNNEL
606,DRIVE THRU BANKING (WINDOW)*
245,CATERING/ICE CREAM TRUCK
211,PAWN SHOP
516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
0,Not Specified
715,HORSE RACING/SANTA ANITA PARK*
941,MTA - EXPO LINE - PICO
943,MTA - EXPO LINE - JEFFERSON/USC
944,MTA - EXPO LINE - EXPO PARK/USC
135,MTA PROPERTY OR PARKING LOT
902,MTA - RED LINE - PERSHING SQUARE
878,MTA - ORANGE LINE - PIERCE COLLEGE
883,MTA - ORANGE LINE - ROSCOE
810,AMTRAK TRAIN
136,"OTHER INTERSTATE, CHARTER BUS"
731,MOSQUE*
906,MTA - RED LINE - VERMONT/BEVERLY
915,MTA - PURPLE LINE - UNION STATION
879,MTA - ORANGE LINE - DE SOTO
903,MTA - RED LINE - 7TH AND METRO CENTER
949,MTA - EXPO LINE - EXPO/LA BREA
945,MTA - EXPO LINE - EXPO/VERMONT
835,7TH AND METRO CENTER (NOT LINE SPECIFIC)
904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
946,MTA - EXPO LINE - EXPO/WESTERN
417,THE BEVERLY CONNECTION
966,MTA - GOLD LINE - UNION STATION
741,STAPLES CENTER *
416,THE BEVERLY CENTER
900,MTA - RED LINE - UNION STATION
916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK
901,MTA - RED LINE - CIVIC CENTER/GRAND PARK
971,MTA - GOLD LINE - HIGHLAND PARK
948,MTA - EXPO LINE - FARMDALE
908,MTA - RED LINE - VERMONT/SUNSET
907,MTA - RED LINE - VERMONT/SANTA MONICA
953,MTA - EXPO LINE - EXPO/SEPULVEDA
911,MTA - RED LINE - HOLLYWOOD/HIGHLAND
897,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
940,MTA - EXPO LINE - 7TH AND METRO CENTER
954,MTA - EXPO LINE - EXPO/BUNDY
742,"SPORTS VENUE, OTHER"
919,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
876,MTA - ORANGE LINE - RESEDA
877,MTA - ORANGE LINE - TAMPA
947,MTA - EXPO LINE - EXPO/CRENSHAW
950,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
932,MTA - BLUE LINE - PICO
139,AMUSEMENT PARK*
931,MTA - BLUE LINE - 7TH AND METRO CENTER
909,MTA - RED LINE - HOLLYWOOD/WESTERN
970,MTA - GOLD LINE - SOUTHWEST MUSEUM
974,Not Specified
962,MTA - GOLD LINE - SOTO
871,MTA - ORANGE LINE - WOODMAN
872,MTA - ORANGE LINE - VAN NUYS
918,MTA - PURPLE LINE - 7TH AND METRO CENTER
608,BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*
968,MTA - GOLD LINE - LINCOLN/CYPRESS
513,ABATEMENT LOCATION
963,MTA - GOLD LINE - MARIACHI PLAZA
952,MTA - EXPO LINE - WESTWOOD/RANCHO PARK
893,MTA - SILVER LINE - SLAUSON
875,MTA - ORANGE LINE - BALBOA
874,MTA - ORANGE LINE - WOODLEY
917,MTA - PURPLE LINE - PERSHING SQUARE
969,MTA - GOLD LINE - HERITAGE SQ
890,MTA - SILVER LINE - UNION STATION
746,SEWAGE FACILITY/PIPE
714,DODGER STADIUM
892,MTA - SILVER LINE - 37TH ST/USC
967,MTA - GOLD LINE - CHINATOWN
961,MTA - GOLD LINE - INDIANA
246,METHADONE CLINIC
891,MTA - SILVER LINE - DOWNTOWN STREET STOPS
223,VIDEO RENTAL STORE
898,MTA - SILVER LINE - PACIFIC COAST HWY
224,SURPLUS SURVIVAL STORE
748,CULTURAL SIGNIFICANCE/MONUMENT
873,MTA - ORANGE LINE - SEPULVEDA
965,MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT
964,MTA - GOLD LINE - PICO/ALISO
143,ESCALATOR*
137,TRAM/STREETCAR(BOXLIKE WAG ON RAILS)*
803,RETIRED (DUPLICATE) DO NOT USE THIS CODE
305,CHEMICAL STORAGE/MANUFACTURING PLANT
889,MTA - SILVER LINE - LAC/USC MEDICAL CENTER
240,DEPT OF DEFENSE FACILITY
805,RETIRED (DUPLICATE) DO NOT USE THIS CODE
126,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)"
734,HOCKEY RINK/ICE HOCKEY
894,MTA - SILVER LINE - MANCHESTER
836,HARBOR FRWY STATION (NOT LINE SPECIFIC)
972,Not Specified
973,Not Specified
976,Not Specified
975,Not Specified
